# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________      "3.2.1" 
Date_of_run______________________________________________________________ (date)_________________________ "16/10/2025 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "09:33" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "ST Regression" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           -5 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________           29 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           18 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           -5 
Objective_function_name__________________________________________________ (objf_name)____________________ "fusion gain           " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ -1.74831718386578530e+01 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 2.84115752122417089e-13 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 1.91999796785803250e-14 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           11 OP 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar001)_____________________ 1.18190323683216807e+01 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm001)_______________________ 7.87935491221445350e-01 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar001)____________________ 3.40951618416084012e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu001)____________________ 2.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl001)____________________ 5.00000000000000000e+00 
beta_____________________________________________________________________ (itvar002)_____________________ 1.31354509028233535e-01 
beta_(final_value/initial_value)_________________________________________ (xcm002)_______________________ 6.56772545141167674e-01 
beta_(range_normalised)__________________________________________________ (nitvar002)____________________ 1.22580312149730836e-01 
beta_(upper_bound)_______________________________________________________ (boundu002)____________________ 1.00000000000000000e+00 
beta_(lower_bound)_______________________________________________________ (boundl002)____________________ 1.00000000000000019e-02 
nd_plasma_electrons_vol_avg______________________________________________ (itvar003)_____________________ 9.69180609570041856e+19 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm003)_______________________ 6.46120406380027879e-01 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar003)____________________ 1.04262357682231521e-01 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu003)____________________ 5.00000000000000000e+20 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl003)____________________ 5.00000000000000000e+19 
fdene____________________________________________________________________ (itvar004)_____________________ 1.00000000000000000e+00 
fdene_(final_value/initial_value)________________________________________ (xcm004)_______________________ 1.00000000000000000e+00 
fdene_(range_normalised)_________________________________________________ (nitvar004)____________________ 1.00000000000000000e+00 
fdene_(upper_bound)______________________________________________________ (boundu004)____________________ 1.00000000000000000e+00 
fdene_(lower_bound)______________________________________________________ (boundl004)____________________ 1.00000000000000006e-01 
hfact____________________________________________________________________ (itvar005)_____________________ 1.19999999999999996e+00 
hfact_(final_value/initial_value)________________________________________ (xcm005)_______________________ 1.19999999999999996e+00 
hfact_(range_normalised)_________________________________________________ (nitvar005)____________________ 1.00000000000000000e+00 
hfact_(upper_bound)______________________________________________________ (boundu005)____________________ 1.19999999999999996e+00 
hfact_(lower_bound)______________________________________________________ (boundl005)____________________ 8.00000000000000044e-01 
dr_cs____________________________________________________________________ (itvar006)_____________________ 1.72034084113780322e-01 
dr_cs_(final_value/initial_value)________________________________________ (xcm006)_______________________ 6.88136336455121289e-01 
dr_cs_(range_normalised)_________________________________________________ (nitvar006)____________________ 3.02200178965490063e-01 
dr_cs_(upper_bound)______________________________________________________ (boundu006)____________________ 5.00000000000000000e-01 
dr_cs_(lower_bound)______________________________________________________ (boundl006)____________________ 2.99999999999999989e-02 
q95______________________________________________________________________ (itvar007)_____________________ 5.84009237458032260e+00 
q95_(final_value/initial_value)__________________________________________ (xcm007)_______________________ 9.73348729096720433e-01 
q95_(range_normalised)___________________________________________________ (nitvar007)____________________ 1.67064257328254279e-01 
q95_(upper_bound)________________________________________________________ (boundu007)____________________ 2.00000000000000000e+01 
q95_(lower_bound)________________________________________________________ (boundl007)____________________ 3.00000000000000000e+00 
fp_plant_electric_net_required_mw________________________________________ (itvar008)_____________________ 3.92381349253022982e-01 
fp_plant_electric_net_required_mw_(final_value/initial_value)____________ (xcm008)_______________________ 3.92381349253022982e-01 
fp_plant_electric_net_required_mw_(range_normalised)_____________________ (nitvar008)____________________ 3.91773122375398353e-01 
fp_plant_electric_net_required_mw_(upper_bound)__________________________ (boundu008)____________________ 1.00000000000000000e+00 
fp_plant_electric_net_required_mw_(lower_bound)__________________________ (boundl008)____________________ 1.00000000000000002e-03 
fp_fusion_total_max_mw___________________________________________________ (itvar009)_____________________ 1.00000000000000000e+00 
fp_fusion_total_max_mw_(final_value/initial_value)_______________________ (xcm009)_______________________ 1.00000000000000000e+00 
fp_fusion_total_max_mw_(range_normalised)________________________________ (nitvar009)____________________ 1.00000000000000000e+00 
fp_fusion_total_max_mw_(upper_bound)_____________________________________ (boundu009)____________________ 1.00000000000000000e+00 
fp_fusion_total_max_mw_(lower_bound)_____________________________________ (boundl009)____________________ 1.00000000000000002e-03 
fradpwr__________________________________________________________________ (itvar010)_____________________ 7.10835268295618938e-01 
fradpwr_(final_value/initial_value)______________________________________ (xcm010)_______________________ 1.11068010671190454e+00 
fradpwr_(range_normalised)_______________________________________________ (nitvar010)____________________ 7.10545814109728613e-01 
fradpwr_(upper_bound)____________________________________________________ (boundu010)____________________ 1.00000000000000000e+00 
fradpwr_(lower_bound)____________________________________________________ (boundl010)____________________ 1.00000000000000002e-03 
dr_bore__________________________________________________________________ (itvar011)_____________________ 1.87729082644012696e-01 
dr_bore_(final_value/initial_value)______________________________________ (xcm011)_______________________ 6.25763608813375671e-01 
dr_bore_(range_normalised)_______________________________________________ (nitvar011)____________________ 1.25327260920018113e-01 
dr_bore_(upper_bound)____________________________________________________ (boundu011)____________________ 8.00000000000000044e-01 
dr_bore_(lower_bound)____________________________________________________ (boundl011)____________________ 1.00000000000000006e-01 
fbeta_max________________________________________________________________ (itvar012)_____________________ 8.74094161150632543e-01 
fbeta_max_(final_value/initial_value)____________________________________ (xcm012)_______________________ 1.16545888153417665e+00 
fbeta_max_(range_normalised)_____________________________________________ (nitvar012)____________________ 8.72822385000638912e-01 
fbeta_max_(upper_bound)__________________________________________________ (boundu012)____________________ 1.00000000000000000e+00 
fbeta_max_(lower_bound)__________________________________________________ (boundl012)____________________ 9.99999999999999847e-03 
fp_hcd_injected_max______________________________________________________ (itvar013)_____________________ 9.53297652191796629e-01 
fp_hcd_injected_max_(final_value/initial_value)__________________________ (xcm013)_______________________ 9.53297652191796629e-01 
fp_hcd_injected_max_(range_normalised)___________________________________ (nitvar013)____________________ 3.92552946879774045e-01 
fp_hcd_injected_max_(upper_bound)________________________________________ (boundu013)____________________ 1.50000000000000000e+00 
fp_hcd_injected_max_(lower_bound)________________________________________ (boundl013)____________________ 5.99999999999999978e-01 
fstrcase_________________________________________________________________ (itvar014)_____________________ 2.97818410949440504e-01 
fstrcase_(final_value/initial_value)_____________________________________ (xcm014)_______________________ 2.97818410949440504e-01 
fstrcase_(range_normalised)______________________________________________ (nitvar014)____________________ 2.90725667625697459e-01 
fstrcase_(upper_bound)___________________________________________________ (boundu014)____________________ 1.00000000000000000e+00 
fstrcase_(lower_bound)___________________________________________________ (boundl014)____________________ 1.00000000000000002e-02 
fstrcond_________________________________________________________________ (itvar015)_____________________ 2.79533994789596729e-01 
fstrcond_(final_value/initial_value)_____________________________________ (xcm015)_______________________ 2.79533994789596729e-01 
fstrcond_(range_normalised)______________________________________________ (nitvar015)____________________ 2.78812807597193901e-01 
fstrcond_(upper_bound)___________________________________________________ (boundu015)____________________ 1.00000000000000000e+00 
fstrcond_(lower_bound)___________________________________________________ (boundl015)____________________ 1.00000000000000002e-03 
fiooic___________________________________________________________________ (itvar016)_____________________ 9.74556392188061338e-01 
fiooic_(final_value/initial_value)_______________________________________ (xcm016)_______________________ 9.74556392188061338e-01 
fiooic_(range_normalised)________________________________________________ (nitvar016)____________________ 9.74299386048546823e-01 
fiooic_(upper_bound)_____________________________________________________ (boundu016)____________________ 1.00000000000000000e+00 
fiooic_(lower_bound)_____________________________________________________ (boundl016)____________________ 1.00000000000000002e-02 
dr_tf_nose_case__________________________________________________________ (itvar017)_____________________ 3.67660014806362234e-01 
dr_tf_nose_case_(final_value/initial_value)______________________________ (xcm017)_______________________ 9.19150037015905474e-01 
dr_tf_nose_case_(range_normalised)_______________________________________ (nitvar017)____________________ 7.29918397564004451e-01 
dr_tf_nose_case_(upper_bound)____________________________________________ (boundu017)____________________ 5.00000000000000000e-01 
dr_tf_nose_case_(lower_bound)____________________________________________ (boundl017)____________________ 1.00000000000000019e-02 
fipir____________________________________________________________________ (itvar018)_____________________ 5.45667099193782534e-01 
fipir_(final_value/initial_value)________________________________________ (xcm018)_______________________ 9.40805343437556063e-01 
fipir_(range_normalised)_________________________________________________ (nitvar018)____________________ 5.45212311505287817e-01 
fipir_(upper_bound)______________________________________________________ (boundu018)____________________ 1.00000000000000000e+00 
fipir_(lower_bound)______________________________________________________ (boundl018)____________________ 1.00000000000000002e-03 
dr_shld_inboard__________________________________________________________ (itvar019)_____________________ 2.76793332992459229e-01 
dr_shld_inboard_(final_value/initial_value)______________________________ (xcm019)_______________________ 6.91983332481148072e-01 
dr_shld_inboard_(range_normalised)_______________________________________ (nitvar019)____________________ 2.69488215143898202e-01 
dr_shld_inboard_(upper_bound)____________________________________________ (boundu019)____________________ 1.00000000000000000e+00 
dr_shld_inboard_(lower_bound)____________________________________________ (boundl019)____________________ 1.00000000000000019e-02 
fpsepr___________________________________________________________________ (itvar020)_____________________ 1.00000000000000000e+00 
fpsepr_(final_value/initial_value)_______________________________________ (xcm020)_______________________ 1.00000000000000000e+00 
fpsepr_(range_normalised)________________________________________________ (nitvar020)____________________ 1.00000000000000000e+00 
fpsepr_(upper_bound)_____________________________________________________ (boundu020)____________________ 1.00000000000000000e+00 
fpsepr_(lower_bound)_____________________________________________________ (boundl020)____________________ 1.00000000000000002e-02 
fl_h_threshold___________________________________________________________ (itvar021)_____________________ 3.44291057118055799e-01 
fl_h_threshold_(final_value/initial_value)_______________________________ (xcm021)_______________________ 3.44291057118055799e-01 
fl_h_threshold_(range_normalised)________________________________________ (nitvar021)____________________ 3.43634691809865667e-01 
fl_h_threshold_(upper_bound)_____________________________________________ (boundu021)____________________ 1.00000000000000000e+00 
fl_h_threshold_(lower_bound)_____________________________________________ (boundl021)____________________ 1.00000000000000002e-03 
f_nd_alpha_electron______________________________________________________ (itvar022)_____________________ 8.85132732176568404e-02 
f_nd_alpha_electron_(final_value/initial_value)__________________________ (xcm022)_______________________ 4.42566366088284202e-01 
f_nd_alpha_electron_(range_normalised)___________________________________ (nitvar022)____________________ 8.76008740917485901e-02 
f_nd_alpha_electron_(upper_bound)________________________________________ (boundu022)____________________ 1.00000000000000000e+00 
f_nd_alpha_electron_(lower_bound)________________________________________ (boundl022)____________________ 1.00000000000000002e-03 
falpha_energy_confinement________________________________________________ (itvar023)_____________________ 1.00000000000000000e+00 
falpha_energy_confinement_(final_value/initial_value)____________________ (xcm023)_______________________ 1.00000000000000000e+00 
falpha_energy_confinement_(range_normalised)_____________________________ (nitvar023)____________________ 1.00000000000000000e+00 
falpha_energy_confinement_(upper_bound)__________________________________ (boundu023)____________________ 1.00000000000000000e+00 
falpha_energy_confinement_(lower_bound)__________________________________ (boundl023)____________________ 1.00000000000000002e-02 
fpflux_fw_rad_max________________________________________________________ (itvar024)_____________________ 4.18555354706634408e-01 
